customer_id,first_name,last_name,full_name,gender,age,tier,registration_date,region,city,email,phone
CUS1263,Soojin,Choi,Choi Soojin,Female,36,Silver,2021-09-01,Gwangju,Buk-gu,choi.soojin1263@email.kr,010-3783-6270
CUS1917,Soojin,Hwang,Hwang Soojin,Female,29,Regular,2019-08-04,Gangwon,Gangneung,hwang.soojin1917@email.kr,010-8257-4133
CUS1288,Joohyun,Heo,Heo Joohyun,Female,24,silver,2021-08-01,Incheon,Namdong-gu,heo.joohyun1288@email.kr,010-7844-3769
CUS1550,Sowon,Jang,Jang Sowon,Female,22,Regular,2021-04-14,Gyeonggi,Pyeongtaek,jang.sowon1550@email.kr,010-1269-2249
CUS2271,Jongho,Jung,Jung Jongho,Male,30,Silver,2022-10-25,Gangwon,Wonju,jung.jongho2271@email.kr,010-5734-1018
CUS2700,Seungwon,Ko,Ko Seungwon,Male,41,Gold,2021-07-22,Gyeonggi,Bucheon,ko.seungwon2700@email.kr,010-5641-6460
CUS2537,Naeun,Nam,Nam Naeun,F,25,Gold,2022-03-13,Incheon,Namdong-gu,nam.naeun2537@email.kr,010-1682-1811
CUS1219,Joohyun,Son,Son Joohyun,Female,32,Silver,2023-04-15,Gyeonggi,Pyeongtaek,son.joohyun1219@email.kr,010-5409-1871
CUS2630,Woosung,Lim,Lim Woosung,Male,18,Regular,2022-07-07,Gyeonggi,Pyeongtaek,lim.woosung2630@email.kr,010-9603-1374
CUS0424,Mijoo,Kwon,Kwon Mijoo,Female,25,Gold,2024/10/05,Gyeonggi,Bucheon,kwon.mijoo424@email.kr,010-6882-2574
CUS1508,Jiho,Jung,Jung Jiho,Male,31,Regular,2021-12-18,Seoul,Nowon-gu,jung.jiho1508@email.kr,010-4181-8842
CUS0906,Jaehyun,Ahn,Ahn Jaehyun,Male,29,Silver,2022-01-11,GWANGJU,Nam-gu,ahn.jaehyun906@email.kr,010-7904-5274
CUS2207,Soohyun,Choi,Choi Soohyun,Male,18,Regular,2024-08-11,Busan ,Dongrae-gu,choi.soohyun2207@email.kr,010-4354-6484
CUS0849,Joohyun,Ko,Ko Joohyun,Female,25,Regular,2023-02-06, Gyeonggi,Bucheon,ko.joohyun849@email.kr,010-9245-8811
CUS1314,Hyerin,Jung,Jung Hyerin,Female,41,Premium,2020-01-16,Busan,Nam-gu,jung.hyerin1314@email.kr,010-7426-3593
